"MAC","Hersteller","Straße", "Ort", "Land"
"B4E62A","LG Innotek","26, Hanamsandan 5beon-ro","Gwangju  Gwangsan-gu  506-731","KR"
"E4A749","Palo Alto Networks","3000 Tannery Way","Santa Clara  CA  95054","US"
"A0AFBD","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"7C8BCA","TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan","Shenzhen  Guangdong  518057","CN"
"B04E26","TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan","Shenzhen  Guangdong  518057","CN"
"B089C2","Zyptonite","1460 Broadway, 12 fl.","New York  NY  10036","US"
"F023B9","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"30074D","SAMSUNG ELECTRO-MECHANICS(THAILAND)","93Moo5T. Bangsamak SEMTHAI, WELLGROW INDUSTRIAL ESTATE","Bangpakong  Chachoengsao  24180","TH"
"A0341B","Adero Inc","7410 HOllister Ave","Goleta  CA  93117","US"
"8C147D","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"FC4DD4","Universal Global Scientific Industrial Co., Ltd.","141, Lane 351, Taiping Rd. Sec. 1, Tsao Tuen,","Nan-Tou Hsien,     542","TW"
"145BE1","nyantec GmbH","Europaplatz 2","Berlin    10557","DE"
"A4F4C2","VNPT TECHNOLOGY","HoaLac Hi-Tech Park","HANOI  HANOI  10000","VN"
"481063","NTT Innovation Institute, Inc.","1950 University Avenue, Suite 600","East Palo Alto  CA  94303","US"
"A08E78","Sagemcom Broadband SAS","250, route de l'Empereur","Rueil Malmaison Cedex  hauts de seine  92848","FR"
"947BE7","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"5092B9","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"DC74A8","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"88D50C","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,","DONG GUAN  GUANG DONG  523860","CN"
"D428D5","TCT mobile ltd","No.86 hechang 7th road, zhongkai, Hi-Tech District","Hui Zhou  Guang Dong  516006","CN"
"1C1FD4","LifeBEAM Technologies LTD","150 Greenwich st 4WTC - 29th floor","New York  NY  10007","US"
"009AD2","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"E83935","Hewlett Packard","11445 Compaq Center Drive","Houston    77070","US"
"00180A","Cisco Meraki","99 Rhode Island St.","San Francisco,  CA  94103","US"
"18A958","PROVISION THAI CO., LTD.","155/7-10 Rachadapisek Rd.,","Thonburi  Bangkok  10600","TH"
"9CE951","Shenzhen Sang Fei Consumer Communications Ltd., Co.","11,Science And Technology Road, Shenzhen Hi-tech Industrial Park, Nanshan District","Shenzhen City  Guangdong  518057","CN"
"74C9A3","Fiberhome Telecommunication Technologies Co.,LTD","No.5 DongXin Road","Wuhan  Hubei  430074","CN"
"EC8A4C","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"D45F25","Shenzhen YOUHUA Technology Co., Ltd","Room 407 Shenzhen University-town Business Park,Lishan Road,Taoyuan Street,Nanshan District","Shenzhen  Guangdong  518055","CN"
"40C8CB","AM Telecom co., Ltd.","#608,YatapLeaders B/D, Jangmi-ro 42, Bundang-gu","Seongnam-si  Gyeonggi-do  463-828","KR"
"907065","Texas Instruments","12500 TI Blvd","Dallas  TX  75243","US"
"5C6A80","Zyxel Communications Corporation","No. 6 Innovation Road II, Science Park","Hsichu  Taiwan  300","TW"
"D860B3","Guangdong Global Electronic Technology CO.，LTD","Floor4 East side,build#6,Huangzhou industry Park, chebei Road, Tianhe District","GuangZhou  GuangDong  510660","CN"
"64351C","e-CON SYSTEMS INDIA PVT LTD","RR Tower 4, 7th Floor, TVK IND Estate, Guindy","Chennai  Other  600032","IN"
"A8D579","Beijing Chushang Science and Technology Co.,Ltd","3A285 room,3 layer,1 building,No 11 of yongwai song zhuang road,Fengtai district,Beijing","Beijing  Beijing  518000","CN"
"605317","Sandstone Technologies","1920 lyell ave","Rochester  NY  14606","US"
"60BA18","nextLAP GmbH","Hofmannstr. 61","München    81379","DE"
"84CD62","ShenZhen IDWELL Technology CO.,Ltd","4F,Building 20 Changxing Industrial Park,Shayi,Shajing,BaoAn","ShenZhen    518000","CN"
"B8D50B","Sunitec Enterprise Co.,Ltd","3F.,No.98-1,Mincyuan Rd.Sindian City","Taipei County 231    231141","CN"
"BC66DE","Shadow Creator Information Technology Co.,Ltd.","Shanghai City, Pudong New Area Zhangjiang road 368, Building 29, room 611","Shanghai  Shanghai  200120","CN"
"9CAF6F","ITEL MOBILE LIMITED","RM B3 & B4 BLOCK B, KO FAI INDUSTRIAL BUILDING  NO.7 KO FAI ROAD, YAU TONG, KLN, H.K","Hong Kong  KOWLOON  999077","HK"
"FC539E","Shanghai Wind Technologies Co.,Ltd","Floor 8,East Building,Guilin Technology Mansion,No.650,Caobao Road,XuHui District,Shanghai,P.R.China","Shanghai  Shanghai  200233","CN"
"C83A6B","Roku, Inc","1155 Coleman Ave","San Jose  CA  95110","US"
"B4C6F8","Axilspot Communication","A302 Han's Innovation Building, No.9018 Beihuan Ave., Nanshan District","Shenzhen    518000","CN"
"001FA4","SHENZHEN GONGJIN ELECTRONICS CO.,LT","4F,Baiying Building, No.1019,Nanhai RD,Shekou,","ShenZhen  GuangDong  518067","CN"
"C4AE12","Samsung Electronics Co.,Ltd","129, Samsung-ro, Youngtongl-Gu","Suwon  Gyeonggi-Do  16677","KR"
"58D9D5","Tenda Technology Co.,Ltd.Dongguan branch","Room 79,Yuanyi Road,Dalang Town,Dongguan Guangdong 523770","Dongguan  Guangdong  523770","CN"
"94D299","Techmation Co.,Ltd.","9F., No.529, Zhongzheng Rd., Xindian Dist., New Taipei City 231, Taiwan","New Taipei City     231","TW"
"6CAB31","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"4C74BF","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"04946B","TECNO MOBILE LIMITED","ROOMS 05-15, 13A/F., SOUTH TOWER, WORLD FINANCE CENTRE, HARBOUR CITY, 17 CANTON ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG","Hong Kong  Hong Kong  999077","HK"
"A04C5B","Shenzhen TINNO Mobile Technology Corp.","Building, No.33, Xiandong Rd, Xili","Nanshan District, Shenzhen  PRC  518053","CN"
"F85971","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"341A35","Fiberhome Telecommunication Technologies Co.,LTD","No.5 DongXin Road","Wuhan  Hubei  430074","CN"
"2C029F","3ALogics","#704, Hyundai office B'd, Sunae-dong, Bundang-gu","Seongnam-si    13601","KR"
"00050F","Tanaka S/S Ltd.","1942 Nomura Hirooka","Nagano  399-0702","JP"
"488803","ManTechnology Inc.","12th Fl, 308-4 Seongsoodong 2ga, Seongdonggu","Seoul    04781","KR"
"B436E3","KBVISION GROUP","337 N. Vineyard Avenue,  4th Floor,  San Jose, CA 91764","San Jose  CA  90847","US"
"6C4B90","LiteON","5F, No.90, Rd. Chien 1, ChungHo","New Taipei  Taiwan  23505","TW"
"2CABEB","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"64D154","Routerboard.com","Mikrotikls SIA","Riga  Riga  LV1009","LV"
"989E63","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"886B6E","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"D4DCCD","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"484BAA","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"DCA904","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"BC452E","Knowledge Development for POF S.L.","Ronda de Poniente 14, 2-C,D","Tres Cantos  Madrid  28760","ES"
"706DEC","Wifi-soft LLC","616, West Monroe","Austin  TX  78704","US"
"B0C205","BIONIME","No.100, Sec.2, Daqing St., South Dist.,","Taichung  Taiwan  40242","TW"
"94F551","Cadi Scientific Pte Ltd","31 Ubi Road 1, Aztech Building, #07-01A","Singapore    408694","SG"
"F4E4AD","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen  guangdong  518057","CN"
"28FF3E","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen  guangdong  518057","CN"
"B8D7AF","Murata Manufacturing Co., Ltd.","1-10-1, Higashikotari","Nagaokakyo-shi  Kyoto  617-8555","JP"
"D4AE05","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"1005CA","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"7894B4","Sercomm Corporation.","3F,No.81,Yu-Yih Rd.,Chu-Nan Chen","Miao-Lih Hsuan    115","TW"
"E048AF","Premietech Limited","Unit 805, Tower 3, Enterprise Square I","No. 9 Sheung Yuet Road  Kowloon Bay  HongKong  00000","HK"
"2C3311","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"5082D5","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"3CA067","Liteon Technology Corporation","4F, 90, Chien 1 Road","New Taipei City  Taiwan  23585","TW"
"F0EE10","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"C4700B","GUANGZHOU CHIP TECHNOLOGIES CO.,LTD","4th floor, Building J of JiTang Industrial Zone, No. 8 NanYun fifth road, HuangPu District","Guangzhou  Guangdong  510700","CN"
"443708","MRV Comunications","Hayetzira","Yokneam    614","IL"
"1C1EE3","Hui Zhou Gaoshengda Technology Co.,LTD","No.75,Zhongkai High-Tech Development District,Huizhou","Hui Zhou  Guangdong  516006","CN"
"44032C","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"500FF5","Tenda Technology Co.,Ltd.Dongguan branch","Room 79,Yuanyi Road,Dalang Town,Dongguan Guangdong 523770","Dongguan  Guangdong  523770","CN"
"BC024A","HMD Global Oy","Bertel Jungin aukio 9","Espoo    02600","FI"
"949901","Shenzhen YITOA Digital Appliance CO.,LTD","5/F,Yitoa Building,Keji South Road 5th,Hi-tech Industrial Park,Nanshan District,","shenzhen  Guangdong  518000","CN"
"285F2F","RNware Co.,Ltd.","#202 ICT Park Bldg, 205, Songhyun-ro, Dalseo-gu","Daegu    42734","KR"
"105AF7","ADB Italia","Viale Sarca 222","Milan  Italy  20126","IT"
"B81DAA","LG Electronics (Mobile Communications)","60-39, Gasan-dong, Geumcheon-gu","Seoul    153-801","KR"
"00E400","Sichuan Changhong Electric Ltd.","No.35,East MianXin Road,MianYang,Sichaun,China.","MianYang  SiChuan  PRC 621000","CN"
"542F8A","TELLESCOM INDUSTRIA E COMERCIO EM TELECOMUNICACAO","Av. Buriti, 1900 – Setor B – Distrito Industrial","Manaus  Amazonas  69075-000","BR"
"08CCA7","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"0896AD","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"2C55D3","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"DCC64B","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"043389","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"00A068","BHP LIMITED","1500 Post Oak Boulevard #11.08 B","Houston  TX  77056-3030","US"
"703ACB","Google, Inc.","1600 Amphitheatre Parkway","Mountain View  CA  94043","US"
"00C024","EDEN SISTEMAS DE COMPUTACAO SA","RUA DO OUVIDOR 121 5 ANDAR","","BR"
"7C4685","Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.","No.19, Gaoxin 4th Road, Wuhan East Lake High-tech Zone, Wuhan","Wuhan  Hubei  430000","CN"
"6014B3","CyberTAN Technology Inc.","99 Park Ave III, Hsinchu Science Park","Hsinchu    308","TW"
"105611","ARRIS Group, Inc.","6450 Sequence Drive","San Diego  CA  92121","US"
"1C398A","Fiberhome Telecommunication Technologies Co.,LTD","No.5 DongXin Road","Wuhan  Hubei  430074","CN"
"00179B","CHANT SINCERE CO.,LTD","7F-2,NO.188,Sec 3,Ta Tung Rood,","Hsi Chih City  Taipei Hsien  221","TW"
"7868F7","YSTen Technology Co.,Ltd","Room 1715,17/F North Star Times Tower,Chaoyang District,Beijing.","Beijing    100101","CN"
"44D437","Inteno Broadband Technology AB","Stensätravägen 13","Skärholmen  SE  127 39","SE"
"ECE154","Beijing Unisound Information Technology Co.,Ltd.","Rm406,keyan Building,Tsinghua Hi-tech Park,High-tech Industrial Park North Area,Nanshan","Shenzhen    518057","CN"
"E865D4","Tenda Technology Co.,Ltd.Dongguan branch","Room 79,Yuanyi Road,Dalang Town,Dongguan Guangdong 523770","Dongguan  Guangdong  523770","CN"
"24D51C","Zhongtian broadband technology co., LTD","Rudong hekou town Zhongtian industrial park","Nantong  jiangsu Province  226463","CN"
"EC43F6","Zyxel Communications Corporation","No. 6 Innovation Road II, Science Park","Hsichu  Taiwan  300","TW"
"60C658","PHYTRONIX Co.,Ltd.","1877-3 Ootashimo-machi","Takamatsu  Kagawa  761-8073","JP"
"FCB58A","Wapice Ltd.","Yliopistonranta 5","Vaasa    65200","FI"
"347877","O-Net Communications (Shenzhen) Limited","#10-1 South,Maqueling Industrial Park,Nanshan District","Shenzhen  Guangdong  518057","CN"
"0020CC","DIGITAL SERVICES, LTD.","9 WAYTE STREET","ENGLAND  PO6  3BS","GB"
"0823B2","vivo Mobile Communication Co., Ltd.","#283,BBK Road","Wusha,Chang'An  DongGuan City,Guangdong,  523860","CN"
"88C3B3","SOVICO","2271-5 Nambusunhwan-ro, Seocho-gu","Seoul    06703","KR"
"A462DF","DS Global. Co., LTD","3F, 107, Gasan digital 2-ro, Geumcheon-gu","Seoul    08505","KR"
"4C1694","shenzhen sibituo Technology Co., Ltd","15C Yuehua Park Nanshan Road Nanshan District","SHENZHEN  guangdong  518000","CN"
"6C160E","ShotTracker","7220 W Frontage Rd","Merriam  KS  66203","US"
"803A0A","Integrated Device Technology (Malaysia) Sdn. Bhd.","Phase 3, Bayan Lepas FIZ","Bayan Lepas  Penang  11900","MY"
"E05124","NXP Semiconductors","411 E. Plumeria Drive","San Jose  CA  95134","US"
"001DA3","SabiOso","189 S State Suite #250","Clearfield  Utah  84015","US"
"689FF0","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen  guangdong  518057","CN"
"00014F","Adtran Inc","901 Explorer Blvd.","Huntsville  AL  35806-2807","US"
"285261","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"286F7F","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"20780B","Delta Faucet Company","55 East 111th Street","Indianapolis  IN  46280","US"
"0C73BE","Dongguan Haimai Electronie Technology Co.,Ltd","Room 701，Yifeng Building7, No.8 Industrial Zone, Xianbian Road, Changan Town Xiaobian edge","Dongguan  Guangdong  518000","CN"
"F0C850","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"C81451","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"5CAF06","LG Electronics (Mobile Communications)","60-39, Gasan-dong, Geumcheon-gu","Seoul    153-801","KR"
"24A7DC","SKY UK LIMITED","130 Kings Road","Brentwood  Essex  08854","GB"
"98B6E9","Nintendo Co.,Ltd","11-1 HOKOTATE-CHO KAMITOBA,MINAMI-KU","KYOTO  KYOTO  601-8501","JP"
"F8983A","Leeman International (HongKong) Limited","Number 13 first floor Y1 cultural creative park bantian","shen zhen     51800","CN"
"4CECEF","Soraa, Inc.","6500 Kaiser Dr Suite 110","Fremont  CA  94555","US"
"1CEFCE","bebro electronic GmbH","MAx-Planck-Str. 6-8","Frickenhausen    72636","DE"
"30E171","Hewlett Packard","11445 Compaq Center Drive","Houston  TX  77070","US"
"F015B9","PlayFusion Limited","St  Johns Innovation Centre","Cambridge    CB4 0WS","GB"
"64DBA0","Select Comfort","9800 59th Ave N","Minneapolis  MN  55442","US"
"2CD02D","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"1840A4","Shenzhen Trylong Smart Science and Technology Co., Ltd.","15E, qingdian building, No#6007, Binhe road, futian district","Shenzhen city  Guangdong Province  518100","CN"
"C8AA55","Hunan Comtom Electronic Incorporated Co.,Ltd","6 -7 Floor, Jindan Building B,Xiongtian Road, Furong District","changsha  Hunan  410126","CN"
"64B0A6","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"7C04D0","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"84FCAC","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"DC0C5C","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"70700D","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"001D72","Wistron Corporation","21F, 88, Sec.1, Hsin Tai Wu Rd., Hsichih,","Taipei Hsien    221","TW"
"186590","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"F86214","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"784F43","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"404D7F","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"1C48CE","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,","DONG GUAN  GUANG DONG  523860","CN"
"D8197A","Nuheara Ltd","Unit 5, 28 John St","Northbridge  WA  6003","AU"
"4C38D5","MITAC COMPUTING TECHNOLOGY CORPORATION","3F., NO.1, R&D ROAD 2, HSINCHU SCIENCE PARK","HSINCHU    30076","TW"
"54B56C","Xi'an NovaStar Tech Co., Ltd","4F, Block D, Qinfeng Pavilion, Xi'an Software Park, No.68 Keji 2nd Rd.,","Xi'an  Shanxi  710075","CN"
"2CDCAD","Wistron Neweb Corporation","No.20,Park Avenue II,Hsinchu Science Park","Hsin-Chu  R.O.C.  308","TW"
"6C5C14","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,","DONG GUAN  GUANG DONG  523860","CN"
"4C7487","Leader Phone Communication Technology Co., Ltd.","121 Room (Park) No.1 Building, No.10 Xinghuo Road  Science City Feng-tai District, Beijing, China","Beijing    100070","CN"
"C80CC8","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"344CC8","Echodyne Corp","2380 116th Ave NE","Bellevue   WA  98004","US"
"64136C","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen  guangdong  518057","CN"
"04B648","ZENNER","Roemerstadt 6","Saarbruecken    66121","DE"
"98F199","NEC Platforms, Ltd.","2-3 Kandatsukasamachi","Chiyodaku  Tokyo  101-8532","JP"
"603E7B","Gafachi, Inc.","1 W Main St., STE 650","Rochester  NY  14614","US"
"0425C5","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"AC83F3","AMPAK Technology, Inc.","No.1,Jen Ai Road Hsinchu Industrial Park, Hukou","Hsinchu  Taiwan ROC.  30352","TW"
"90D7BE","Wavelab Global Inc.","12007 Sunrise Valley Drive, Suite 450","Reston  VA  20191","US"
"244E7B","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"30AEA4","Espressif Inc.","Room 204, Building 2, 690 Bibo Rd, Pudong New Area","Shanghai  Shanghai  201203","CN"
"CC8CDA","Shenzhen Wei Da Intelligent Technology Go.,Ltd","5K, Block B,Yueshang Center Cultural Square Jianshe East Rd Longhua New District","Shenzhen    518109","CN"
"D436DB","Jiangsu Toppower Automotive Electronics Co., Ltd","No. 2 Tuolanshan Road","Xuzhou  Jiangsu  221004","CN"
"7C2587","chaowifi.com","No. 502 1th Building TaiHe Square","HangZhou  QianJiangRoad  310002","CN"
"B0A2E7","Shenzhen TINNO Mobile Technology Corp.","Building, No.33, Xiandong Rd, Xili","Nanshan District, Shenzhen  PRC  518053","CN"
"E80945","Integrated Device Technology (Malaysia) Sdn. Bhd.","Phase 3, Bayan Lepas FIZ","Bayan Lepas  Penang  11900","MY"
"002144","SS Telecoms","23 Botha Avenue","Centurion  Gauteng  0140","ZA"
"20719E","SF Technology Co.,Ltd","1/F,Block B,Building 1,ShenzhenSoftware Industry Base,Hi-Tech Industrial Park South","Shenzhen  Guangdong Province  518054","CN"
"2CC260","Oracle Corporation","Zarhin 13","Raanana    4366241","IL"
"3C3F51","2CRSI","32 rue Jacobi-Netter","STRASBOURG  France  67200","FR"
"3C2AF4","Brother Industries, LTD.","15-1, Naeshirocho, Mizuho-ku","NAGOYA    4678561","JP"
"50584F","waytotec,Inc.","#604-4,B-Dong,Bundang Technopark,148,Yatap-dong,Bundang-gu,","Seongnam-si  Gyeonggi-do  13511","KR"
"CC61E5","Motorola Mobility LLC, a Lenovo Company","222 West Merchandise Mart Plaza","Chicago  IL  60654","US"
"EC0D9A","Mellanox Technologies, Inc.","350 Oakmead Parkway, Suite 100","Sunnyvale  CA  94085","US"
"3CFA43","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"145F94","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"CC9470","Kinestral Technologies, Inc.","400 E Jamie Ct., Ste. 201","South San Francisco  CA  94080","US"
"085DDD","MERCURY CORPORATION","90, Gajaeul-ro, Seo-gu","INCHEON    22830","KR"
"7823AE","ARRIS Group, Inc.","6450 Sequence Drive","San Diego  CA  92121","US"
"001F82","Cal-Comp Electronics & Communications Company Ltd.","No.147, Sec. 3, Beishen Rd","Shenkeng Dist  New Taipei City  ---","TW"
"883C1C","MERCURY CORPORATION","90, Gajaeul-ro, Seo-gu","INCHEON    22830","KR"
"2834A2","Cisco Systems, Inc","170 West Tasman Drive","San Jose  CA  95134","US"
"006BF1","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"00501E","Grass Valley, A Belden Brand","3499, Douglas B. Floreani","Montreal  Quebec  H4S 2C6","CA"
"B439D6","ProCurve Networking by HP","60 Alexandra Terrace","0000    118502","SG"
"34F39A","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"8C60E7","MPGIO CO.,LTD","MPGIO Bldg., 98 Uijeong St.,","Uijeongbu  Korea / Gyeonggi  11623","KR"
"8C8ABB","Beijing Orient View Technology Co., Ltd.","Building NO.1, LiYe Road 7","Huilongguan Town  Changping District, Beijing  102206","CN"
"00039B","NetChip Technology, Inc.","335 Pioneer Way","Mountain View  CA  94041","US"
"609AC1","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"748D08","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"9C8BA0","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"CC088D","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"38A4ED","Xiaomi Communications Co Ltd","The Rainbow City of China Resources","NO.68, Qinghe Middle Street  Haidian District, Beijing  100085","CN"
"B89919","7signal Solutions, Inc","526 S. Main Street","Akron  OH  44311","US"
"40FE0D","MAXIO","1101-1 digital empire A, 387 simin-daero dongan-gu","anyang-si  kyunggi-do  14057","KR"
"AC64DD","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"BC39D9","Z-TEC","Donyu 1 Ro","Paju  Kyeongkido  10832","KR"
"3087D9","Ruckus Wireless","350 West Java Drive","Sunnyvale  CA  94089","US"
"F09838","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"94B819","Nokia","600 March Road","Kanata  Ontario  K2K 2E6","CA"
"787D48","ITEL MOBILE LIMITED","RM B3 & B4 BLOCK B, KO FAI INDUSTRIAL BUILDING  NO.7 KO FAI ROAD, YAU TONG, KLN, H.K","Hong Kong  KOWLOON  999077","HK"
"8871E5","Amazon Technologies Inc.","P.O Box 8102","Reno  NV  89507","US"
"C0854C","Ragentek Technology Group","D10/D11，No.3188, Xiupu Road, PuDong District, Shanghai","Shanghai    201315","CN"
"D816C1","DEWAV (HK) ELECTRONICS LIMITED","UNIT NO.1-2, 06/F., PERFECT INDUSTRIAL BUILDING,NO. 31 TAI YAU STREET, SAN PO KONG","KOWLOON, HONG KONG    510610","CN"
"60EFC6","Shenzhen Chima Technologies Co Limited","5F, TongXin Technology Park,HengGang,LongGang,Shenzhen,China","Shenzhen  GuangDong  518115","CN"
"20DBAB","Samsung Electronics Co., Ltd.","416, Maetan-3Dong, Yeongtong-Gu","Suwon  Geyonggi-Do  443-742","KR"
"383A21","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"D8380D","SHENZHEN IP-COM Network Co.,Ltd","No.1001,Zhongshangyuan Road,Nanshan District","Shenzhen  Guangdong  518000","CN"
"FCCAC4","LifeHealth, LLC","2656 Patton Rd","Roseville  MN  55113","US"
"88AD43","PEGATRON CORPORATION","5F No. 76, Ligong St., Beitou District","Taipei City  Taiwan  112","TW"
"B4EFFA","Lemobile Information Technology (Beijing) Co., Ltd.","5/F LeEco Building, 105 Yaojiayuan Road, Chaoyang District","Beijing  Beijing  100025","CN"
"00265F","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"00233A","Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong","Gumi  Gyeongbuk  730-350","KR"
"101250","Integrated Device Technology (Malaysia) Sdn. Bhd.","Phase 3, Bayan Lepas FIZ","Bayan Lepas  Penang  11900","MY"
"B0C128","Adler ELREHA GmbH","Schwetzinger Str. 103","Hockenheim  Baden-Württemberg  D-68766","DE"
"F81D78","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"38F7B2","SEOJUN ELECTRIC","468 Gangseo-ro, 07573, SEOJUN ELECTRIC Ace Techno Tower 805","Seoul    07573","KR"
"7802B7","ShenZhen Ultra Easy Technology CO.,LTD","608,Building 2,Guangxingyuan Industrial Park A District,","Baoyuan Rd  ShenZhen,Guangdong  518102","CN"
"646184","VELUX","Baekgaardsvej 40","Skjern    6900","DK"
"F0D9B2","EXO S.A.","Av. Chiclana 3444","Buenos Aires    1260","AR"
"E4C801","BLU Products Inc","10814 NW 33rd Street","Miami  FL  33172","US"
"001FC6","ASUSTek COMPUTER INC.","15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan","Taipei  Taiwan  112","TW"
"6C71BD","EZELINK TELECOM","Bay Square Building 06 - Office No 105","Dubai  Dubai  111581","AE"
